Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
1;piagge;142;34;36;2,7
2;campagne;131;33;35;3,3
3;giogo;213;34;29;2,7
4;sette;117;27;28;0,1
5;i;11351;244;27;3,3
6;valli;166;26;22;3,4
7;valle;201;27;21;4
8;questi;1076;52;19;1,8
9;monti;419;32;18;2,7
10;rive;252;26;17;3,4
11;verdi;284;27;17;2,7
12;ombrosi;49;14;16;2,6
13;aprici;22;11;16;0,8
14;boschi;282;25;15;3,2
15;fiumi;315;23;12;3,5
16;selve;259;21;12;3,1
17;monte;521;28;12;3,2
18;e;86639;1045;11;4,1
19;colle;232;19;11;3
20;fioriti;31;9;10;0,4
21;molli;109;13;10;4,9
22;piano;218;17;10;3
23;alti;436;22;9;1,8
24;apriche;24;7;8;2,3
25;prati;102;11;8;3,1
26;aprico;27;7;8;1
27;lieti;329;18;8;2,1
28;intorno;943;31;8;2,5
29;braccia;164;13;7;2,3
30;toschi;50;8;7;1,2
31;roma;407;19;7;4
32;bel;4071;76;6;3,2
33;verde;749;25;6;2,6
34;ideo;7;4;6;0
35;ove;2262;49;6;3,1
36;ombroso;50;7;6;3
37;colla;100;9;6;3
38;euganei;4;3;5;0
39;colli;323;14;5;4,4
40;fonti;203;11;5;4,8
41;tebro;203;11;5;5,5
42;campi;293;13;5;4,5
43;spalle;137;9;5;2
44;ameni;15;4;4;0,2
45;spada;218;11;4;2,8
46;piaggie;31;5;4;1,6
47;dove;1963;40;4;3,6
48;menando;17;4;4;2,2
49;ombrose;58;6;4;4,3
50;montagne;37;5;4;4
51;ninfe;199;10;4;4,2
52;adunca;7;3;4;0,7
53;schi;7;3;4;2,7
54;ulivo;7;3;4;3,7
55;parnaso;162;9;4;2,4
56;piaggia;92;7;4;2,3
57;al;13857;183;4;3,1
58;molle;167;9;4;5,1
59;neve;400;14;4;3,9
60;bei;796;21;4;0,9
61;d'erba;22;4;4;2,2
62;fiume;458;15;4;3,7
63;dolci;1121;26;4;3
64;billi;2;2;4;4
65;coll'inchiostro;2;2;4;1,5
66;inquieto;2;2;4;1,5
67;ovra;2;2;4;1
68;purgâr;2;2;4;2,5
69;s'inchinâr;2;2;4;2,5
70;boschetti;10;3;3;1,7
71;antri;48;5;3;3,4
72;catena;113;7;3;2,3
73;laccio;194;9;3;3,3
74;folti;28;4;3;3,8
75;l'acque;292;11;3;4,1
76;o;11781;155;3;3,7
77;';33696;394;3;4,2
78;sciolti;29;4;3;4,2
79;superbi;54;5;3;2,8
80;erbose;12;3;3;2,3
81;torno;161;8;3;1,9
82;arno;122;7;3;3,3
83;mente;1210;26;3;2,2
84;avventurose;3;2;3;1
85;disgiunte;3;2;3;4
86;enario;3;2;3;0
87;lti;3;2;3;0
88;seguimi;3;2;3;2,5
89;solcati;3;2;3;0
90;sonâr;3;2;3;0
91;verdeggiava;3;2;3;0
92;vestan;3;2;3;2
93;¢;60;5;3;1,6
94;ridenti;14;3;3;4,3
95;pian;93;6;3;2,8
96;cima;173;8;3;2,4
97;tra;2120;38;3;2,8
98;rivi;96;6;3;4,5
99;monile;15;3;3;5,7
100;il;32222;374;3;3,7
101;primavera;187;8;3;3
102;codro;4;2;3;3
103;d'esti;4;2;3;0
104;d'ôr;4;2;3;0
105;l'angusto;4;2;3;4,5
106;linterno;4;2;3;1,5
107;m'empromecti;4;2;3;4
108;stendere;4;2;3;0,5
109;frondose;17;3;3;3,3
110;piedi;150;7;3;4,3
111;campagna;42;4;3;2
112;buoi;19;3;3;2,3
113;crollo;19;3;3;3
114;impiaga;19;3;3;3,3
115;bosco;154;7;3;2,9
116;d'arno;75;5;3;2,4
117;adombra;113;6;3;3
118;lima;44;4;3;0,8
119;ardean;5;2;3;2
120;cominciaro;5;2;3;4
121;divenuto;5;2;3;0
122;extima;5;2;3;4,5
123;foreste;5;2;3;1
124;moles;5;2;3;4,5
125;nfiori;5;2;3;0,5
126;possette;5;2;3;4,5
127;vaccian;5;2;3;0
128;suoi;1718;31;2;3,9
129;ameno;46;4;2;1,5
130;damone;21;3;2;4
131;fior;733;17;2;5,9
132;chiostro;80;5;2;3,4
133;folli;47;4;2;4,2
134;sentire;47;4;2;4
135;frondi;212;8;2;5,1
136;cantor;22;3;2;3,3
137;quest'onde;22;3;2;2,7
138;fiori;551;14;2;5,8
139;sospir;377;11;2;4,3
140;pendo;6;2;2;1
141;dive;84;5;2;4
142;l'erbe;172;7;2;5,3
143;faggi;52;4;2;4,2
144;vedrassi;25;3;2;3,3
145;sacro;514;13;2;2,8
146;abandonata;7;2;2;4,5
147;d'allori;7;2;2;4,5
148;intagli;7;2;2;2
149;lasciava;7;2;2;2,5
150;nfiammi;7;2;2;2,5
151;ov’io;7;2;2;0
152;remote;7;2;2;4
153;vôlto;7;2;2;0
154;cinga;26;3;2;2
155;fresco;91;5;2;3
156;voce;717;16;2;4,8
157;rio;523;13;2;4,2
158;lauri;93;5;2;3,4
159;dito;57;4;2;0,5
160;bagnati;8;2;2;4,5
161;cittate;8;2;2;4
162;erti;8;2;2;0
163;l'ambra;8;2;2;2
164;m'avvinse;8;2;2;2
165;pendici;8;2;2;4,5
166;scinta;8;2;2;4,5
167;tolli;8;2;2;3
168;zeffiro;8;2;2;1
169;ov;97;5;2;2,6
170;m'avete;29;3;2;3
171;alza;60;4;2;2
172;dintorno;99;5;2;4
173;d'apollo;61;4;2;4
174;pregiato;61;4;2;4,2
175;sicure;30;3;2;4
176;asinaro;9;2;2;4,5
177;chiudon;9;2;2;2,5
178;dipinte;9;2;2;2,5
179;elpisto;9;2;2;1
180;ime;9;2;2;0
181;morello;9;2;2;3,5
182;piagata;9;2;2;0,5
183;ruscelletti;9;2;2;3,5
184;spiran;9;2;2;0,5
185;vaghe;196;7;2;4,4
186;insieme;683;15;2;3,7
187;lieto;1106;21;2;5,9
188;vaga;491;12;2;3,2
189;foste;65;4;2;3,5
190;tirinto;65;4;2;2,5
191;le;13962;168;2;4,6
192;erbe;106;5;2;3,4
193;sassi;203;7;2;3,4
194;consiglio;257;8;2;3,6
195;abbraccia;33;3;2;4,3
196;cedri;10;2;2;2
197;cingon;10;2;2;0,5
198;circonde;10;2;2;0
199;dominio;10;2;2;3
200;vedrò;108;5;2;5,2
201;barbara;34;3;2;1,7
202;be;156;6;2;2,2
203;verno;320;9;2;3,7
204;pioggia;264;8;2;4,1
205;aspri;111;5;2;1,2
206;alpe;35;3;2;3
207;bifolchi;11;2;2;1,5
208;estolle;11;2;2;2,5
209;piangieti;11;2;2;4
210;pre;11;2;2;4,5
211;ridere;11;2;2;0,5
212;fronde;390;10;2;4,8
213;col;2737;41;2;4,2
214;capelli;37;3;2;3
215;poggiar;37;3;2;4
216;peso;273;8;2;5,8
217;asinar;12;2;2;0,5
218;ch'arno;12;2;2;1,5
219;collei;12;2;2;3,5
220;compunto;12;2;2;2,5
221;farnese;12;2;2;3
222;mezzogiorno;12;2;2;4
223;giorno;1704;28;2;5,2
224;volte;730;15;2;6,4
225;crin;281;8;2;4,2
226;candido;121;5;2;0
227;casca;13;2;2;0,5
228;frondosi;13;2;2;0
229;pregò;13;2;2;0,5
230;quercie;13;2;2;2,5
231;stagni;13;2;2;3
232;onoro;78;4;2;2
233;città;173;6;2;1
234;siede;173;6;2;2,8
235;piè;472;11;2;3,4
236;ov'io;174;6;2;3,8
237;adorna;175;6;2;3,2
238;bianca;288;8;2;3,4
239;alpestri;42;3;2;1
240;zampogna;42;3;2;0
241;innalzar;14;2;2;2
242;intere;14;2;2;4
243;palustri;14;2;2;2
244;snello;14;2;2;2
245;vedean;14;2;2;3,5
246;venerando;14;2;2;1
247;man;1586;26;2;3,9
248;propria;178;6;2;3,7
249;faticoso;43;3;2;1,7
250;pino;43;3;2;1,3
251;gola;82;4;2;1,8
252;c;15;2;2;1
253;fuggitiva;15;2;2;2,5
254;montagna;15;2;2;0,5
255;pendice;15;2;2;1
256;riposte;15;2;2;1,5
257;sonando;15;2;2;1,5
258;ale;84;4;2;4,2
259;l'aer;84;4;2;2,5
260;corre;183;6;2;4,8
261;ognor;841;16;2;4,6
262;pastor;300;8;2;1,9
